lat,lng,el
49.163516,129.269037,305
49.163829,129.603725,210
49.112017,127.02999,450
49.091503,128.178034,335
49.03421,126.704464,400
49.020224,129.692042,290
48.93276,127.089749,410
48.856501,126.762761,370
48.861622,127.093299,400
48.864851,127.311315,460
48.768683,125.885698,359
48.794803,130.354362,178
48.632583,126.450292,290
48.571094,126.994587,340
48.228271,134.300369,40
47.679795,127.509394,290
47.645384,130.437948,170
47.596817,132.766213,54
47.578297,130.012251,270
47.35956,127.783289,250
47.28796,127.784034,220
46.989917,133.055555,55
47.001175,133.89677,125
46.517737,131.190252,296
45.445828,127.262588,295
44.899692,130.976997,580
44.767943,127.732811,221
44.661928,127.891708,250
50.724243,126.679063,502
50.728224,126.904459,373
50.64223,126.229906,516
50.493229,125.988215,426
50.248465,126.309048,491
50.218712,126.591134,570
50.221032,126.702886,590
50.229043,127.1511,363
50.181655,126.536822,550
50.192322,127.096701,304
50.153348,126.930114,408
50.104477,125.685466,405
50.035527,126.432769,562
50.048744,127.102157,368
49.830484,126.999144,400
49.836597,127.333468,234
49.45561,126.242262,425
49.487643,128.55938,159
49.316575,126.475588,560
49.263896,127.571976,280
49.147676,126.973058,287
49.152013,127.301949,335
49.026135,126.375974,470
49.029197,126.485349,430
48.964247,126.815851,430
48.88336,126.383039,360
48.911177,129.766451,210
48.811514,125.615187,301
48.687181,130.522169,122
47.645033,127.562689,308
47.182408,128.051058,210
46.489897,130.719918,246
45.375319,127.36692,265
49.091191,128.398453,310
48.946939,128.291136,423
48.589185,128.83837,420
49.090627,128.669301,270
49.095158,129.222929,380
49.004343,127.822401,380
49.022332,128.781869,320
48.938949,127.471968,430
48.947185,129.003019,360
48.866916,127.448265,450
48.871894,127.910099,380
48.873287,129.4513,340
48.799029,127.91692,470
48.801298,128.350228,490
48.803884,128.56535,420
48.808076,129.000356,400
48.730525,128.239675,510
48.731545,129.433651,390
48.646644,127.15599,420
48.648323,127.263962,460
48.657312,128.023257,420
48.658786,128.458211,530
48.663598,128.657513,450
48.663231,128.784307,420
48.581547,127.700313,380
48.587464,128.031653,470
48.588377,128.458964,500
48.588522,128.567608,460
48.590901,128.890961,420
48.504061,127.269167,420
48.505739,127.483686,420
48.508703,127.593158,400
48.509628,128.138705,460
48.516205,129.542534,380
48.515879,129.649125,430
48.450715,127.461059,400
48.442819,128.24229,450
48.442912,128.353191,480
48.37398,128.784791,480
48.28993,127.383624,413
48.296204,127.923153,410
48.226577,127.723663,460
48.228002,129.753829,480
48.074678,127.39085,421
48.082605,128.141497,460
48.079155,129.754739,620
48.002262,127.49931,426
48.010508,129.751861,770
47.938898,129.644214,660
47.934097,130.393359,250
47.867176,129.643526,730
47.796273,128.359392,380
47.795964,128.465978,420
47.725394,129.320266,360
47.63828,127.735334,290
47.65208,128.149113,390
47.58119,129.42573,470
47.362378,128.047349,320
47.292525,128.36701,344
47.218922,128.156597,290
47.078056,129.001142,440
47.005529,128.686078,330
46.646029,129.313647,700
46.574132,129.001003,360
46.28866,128.486916,215
44.769271,130.213732,490
44.760713,130.820628,640
44.543265,130.913683,530
44.265501,130.10313,700
44.120241,130.572596,530
43.696803,130.96203,580
46.394432,131.809034,370
46.780682,133.429042,180
48.799114,129.654813,370
48.658761,129.761247,420
48.441342,128.027879,430
48.36501,127.598336,490
48.227079,129.646947,380
48.224065,130.078667,310
46.933432,128.476914,340
46.35861,129.313104,170
46.634276,133.223156,330
53.406113,122.578652,456
53.331225,121.980149,640
53.333138,122.221978,660
53.258317,121.861254,640
53.260829,122.221688,650
53.260921,122.941408,530
53.189077,122.222988,745
53.191215,122.580658,547
53.114665,121.865846,630
53.116409,122.105278,720
53.11813,122.463064,450
53.11885,122.582259,580
53.120568,122.824125,640
52.898619,121.753173,710
52.828891,122.228586,595
52.754934,121.87471,715
52.684427,121.996055,515
52.686945,122.350522,815
52.538682,121.644644,850
52.39608,121.884407,740
53.191611,123.180657,466
53.119937,122.940406,440
53.119892,123.061166,474
53.11558,123.301998,580
52.975419,122.58488,435
52.904225,122.941149,540
52.831692,122.464868,620
52.759822,122.586623,647
52.615893,122.822642,856
52.545001,122.824314,890
52.47273,122.706328,800
53.477499,123.663555,397
53.404543,123.784347,460
53.342328,123.763446,350
53.262678,123.53626,395
53.259023,124.020517,415
53.192461,123.302118,480
53.047451,123.417844,675
52.974363,123.655974,530
52.83201,123.178733,515
52.832202,123.298131,620
52.759689,123.41599,900
52.687749,123.417303,860
52.617061,123.177312,555
52.544398,122.942282,775
52.473189,122.942317,860
52.470374,123.061559,800
52.400864,122.943043,920
53.189283,124.020596,600
53.183521,124.379422,350
53.10426,124.615367,366
53.041115,124.371636,430
53.035661,124.72936,390
52.9708,124.251424,430
52.960876,124.844994,410
52.893311,124.605536,455
52.892048,124.725109,450
52.8908,124.840011,530
52.829884,123.772476,475
52.82076,124.602149,480
52.818183,124.839939,345
52.817435,124.960749,470
52.758987,123.535077,710
52.753159,124.244082,510
52.752544,124.360689,520
52.749725,124.600889,500
52.741159,125.074787,370
52.613731,123.535018,690
52.614262,123.769873,720
52.613653,123.886673,780
52.541392,123.769438,700
52.536955,124.356682,842
52.535032,124.474661,689
52.47022,123.648955,710
52.45818,124.824054,420
52.456917,124.942868,425
52.328019,123.528324,810
52.324068,124.232438,645
52.321449,124.350346,590
52.313439,124.937502,430
52.245571,124.5823,600
52.177697,124.345213,740
53.022433,125.44512,300
53.020479,125.562602,375
52.843854,125.808215,275
52.81193,125.194093,380
52.740097,125.191267,365
